item_id,count_review:int,rating
TOBAREST00001,230,4.8
TOBAREST00002,893,4.2
TOBAREST00003,34,4.4
TOBAREST00004,360,4.2
TOBAREST00005,120,4.9
TOBAREST00006,281,4.0
TOBAREST00008,636,4.4
TOBAREST00009,700,4.2
TOBAREST00010,115,4.2
TOBAREST00013,123,4.4
TOBAREST00014,104,4.2
TOBAREST00016,24,4.4
TOBAREST00018,288,4.4
TOBAREST00019,260,4.3
TOBAREST00020,55,4.6
TOBAREST00021,2,5.0
TOBAREST00024,15,4.6
TOBAREST00025,222,4.1
TOBAREST00026,537,4.5
TOBAREST00027,74,4.8
TOBAREST00028,390,4.0
TOBAREST00029,12,5.0
TOBAREST00030,24,4.3
TOBAREST00031,41,4.3
TOBAREST00034,410,4.5
TOBAREST00035,149,4.2
TOBAREST00036,67,4.5
TOBAREST00037,17,4.4
TOBAREST00038,5,4.6
TOBAREST00039,62,4.9
TOBAREST00040,45,4.6
TOBAREST00041,110,4.5
TOBAREST00042,31,3.5
TOBAREST00044,11,4.5
TOBAREST00045,39,3.9
TOBAREST00046,22,4.5
TOBAREST00047,101,4.2
TOBAREST00048,10,4.6
TOBAREST00049,38,4.6
TOBAREST00050,5,5.0
TOBAREST00051,14,4.4
TOBAREST00053,50,3.1
TOBAREST00054,16,4.3
TOBAREST00055,1,4.0
TOBAREST00056,218,4.1
TOBAREST00057,2,4.0
TOBAREST00058,40,4.3
TOBAREST00059,63,4.2
TOBAREST00061,211,4.2
TOBAREST00062,21,4.0
TOBAREST00063,4,4.8
TOBAREST00064,32,4.7
TOBAREST00065,32,4.5
TOBAREST00066,1,5.0
TOBAREST00068,11,3.5
TOBAREST00070,47,4.2
TOBAREST00071,199,4.3
TOBAREST00072,97,4.4
TOBAREST00073,216,4.0
TOBAREST00075,20,4.4
TOBAREST00076,2,5.0
TOBAREST00077,12,3.8
TOBAREST00078,7,4.1
TOBAREST00079,5,4.4
TOBAREST00080,19,4.7
TOBAREST00081,12,4.6
TOBAREST00082,86,4.3
TOBAREST00083,33,4.3
TOBAREST00084,32,3.9
TOBAREST00085,24,4.3
TOBAREST00086,49,4.4
TOBAREST00087,20,4.1
TOBAREST00088,64,4.7
TOBAREST00089,36,4.2
TOBAREST00090,25,3.8
TOBAREST00092,39,4.5
TOBAREST00093,0,4.2
TOBAREST00094,178,4.2
TOBAREST00095,17,4.5
TOBAREST00096,263,4.1
TOBAREST00097,14,4.4
TOBAREST00098,27,4.8
TOBAREST00099,6,4.7
TOBAREST00100,86,4.3
TOBAREST00101,1,5.0
TOBAREST00102,19,4.6
TOBAREST00103,253,4.5
TOBAREST00104,3,4.0
TOBAREST00105,18,4.4
TOBAREST00107,3,4.0
TOBAREST00108,85,4.4
TOBAREST00109,18,3.8
TOBAREST00110,8,4.5
TOBAREST00111,71,4.4
TOBAREST00112,13,4.9
TOBAREST00113,97,4.1
TOBAREST00114,72,4.2
TOBAREST00116,81,4.3
TOBAREST00118,151,4.4
TOBAREST00120,4,4.8
TOBAHOTL0003,89,4.2
TOBAHOTL0004,10,4.9
TOBAHOTL0005,1,5.0
TOBAHOTL0006,1,5.0
TOBAHOTL0007,214,4.4
TOBAHOTL0008,29,5.0
TOBAHOTL0009,0,5.0
TOBAHOTL0010,3,4.7
TOBAHOTL0011,55,4.6
TOBAHOTL0012,236,
TOBAHOTL0013,14,5.0
TOBAHOTL0014,10,5.0
TOBAHOTL0016,127,3.9
TOBAHOTL0021,10,4.5
TOBAHOTL0022,11,3.8
TOBAHOTL0023,2,5.0
TOBAHOTL0024,2,5.0
TOBAHOTL0026,1,5.0
TOBAHOTL0027,16,4.8
TOBAHOTL0028,4,5.0
TOBAHOTL0029,21,4.6
TOBAHOTL0030,82,4.9
TOBAHOTL0031,5,5.0
TOBAHOTL0032,4,5.0
TOBAHOTL0035,5,4.8
TOBAHOTL0037,0,4.9
TOBAHOTL0039,0,5.0
TOBAHOTL0040,1,5.0
TOBAHOTL0042,0,5.0
TOBAHOTL0043,0,4.3
TOBAHOTL0044,20,4.2
TOBAHOTL0045,0,4.5
TOBAHOTL0046,172,4.4
TOBAHOTL0047,0,4.5
TOBAHOTL0048,185,3.8
TOBAHOTL0049,749,4.1
TOBAHOTL0050,958,4.1
TOBAHOTL0051,285,3.8
TOBAHOTL0052,0,4.1
TOBAHOTL0053,0,3.3
TOBAHOTL0054,466,4.2
TOBAHOTL0055,10,4.8
TOBAHOTL0056,129,4.2
TOBAHOTL0057,32,4.5
TOBAHOTL0059,73,4.0
TOBAHOTL0060,83,3.5
TOBAHOTL0061,2237,4.5
TOBAHOTL0062,537,4.5
TOBAHOTL0063,9,4.0
TOBAHOTL0064,20,3.4
TOBAHOTL0065,0,5.0
TOBAHOTL0066,1,5.0
TOBAHOTL0067,76,4.4
TOBAHOTL0069,716,4.1
TOBAHOTL0070,0,4.8
TOBAHOTL0071,184,4.9
TOBAHOTL0073,200,4.6
TOBAHOTL0075,3,4.3
TOBAHOTL0078,15,4.9
TOBAHOTL0080,6,4.2
TOBAHOTL0081,2,3.5
TOBAHOTL0082,234,4.0
TOBAHOTL0085,15,5.0
TOBAHOTL0086,24,3.9
TOBAHOTL0087,300,3.7
TOBAHOTL0088,103,4.8
TOBAHOTL0089,211,4.2
TOBAHOTL0091,3,5.0
TOBAHOTL0092,53,4.1
