item_id:token,entity_id:token
TOBAHOTL0003,res:AQUINO_MARITO
TOBAHOTL0005,res:ASIDO_HOMESTAY
TOBAHOTL0006,res:Aster_Homestay_Lumban_bulbul
TOBAHOTL0007,res:Hotel_Balige_Beach
TOBAHOTL0008,res:Op._Dahlia_Homestay
TOBAHOTL0009,res:Blessing_Homestay_toba
TOBAHOTL0010,res:Brain_Homestay
TOBAHOTL0011,res:Brussels_Homestay
TOBAHOTL0012,res:Damar_Toba_~_Lakeside_Eatery_&_Stay
TOBAHOTL0013,res:Elysha_Homestay
TOBAHOTL0014,res:FAMILY_HOMESTAY_toba
TOBAHOTL0016,res:Grand_Mareda_Hotel
TOBAHOTL0021,res:HOMESTAY_CHRISTIAN
TOBAHOTL0022,res:Penginapan_Dion
TOBAHOTL0023,res:HASIAN_HOMESTAY
TOBAHOTL0024,res:Homestay_Hasian_toba
TOBAHOTL0026,res:Helena_homestay
TOBAHOTL0027,res:Homestay_Raja_Hiobaja_Sianipar
TOBAHOTL0028,res:KASIH_HOMESTAY
TOBAHOTL0029,res:Homestay_Mawar_1_toba
TOBAHOTL0030,res:Homestay_Melati_Balige
TOBAHOTL0032,res:Penginapan_Nael_Jaya
TOBAHOTL0035,res:HOMESTAY_OP.MARTAHAN_toba
TOBAHOTL0040,res:Homestay_Suteja_toba
TOBAHOTL0044,res:HOTEL_ALMON_SARI_toba
TOBAHOTL0046,res:HOTEL_ITA_toba
TOBAHOTL0048,res:Hotel_Mezra_toba
TOBAHOTL0049,res:HOTEL_NABASA_toba
TOBAHOTL0050,res:HOTEL_OMPU_HERTI_toba
TOBAHOTL0051,res:HOTEL_SANTO_DJAYA_toba
TOBAHOTL0054,res:Tiara_Bunga_Hotel
TOBAHOTL0056,res:HOTRONA_HOTEL
TOBAHOTL0057,res:Homestay_Ita_Pagar_Batu
TOBAHOTL0058,res:Jior_Marsaor_Homestay_toba
TOBAHOTL0059,res:JS_HOTEL_toba
TOBAHOTL0060,res:KARISMA_RESIDENCE_toba
TOBAHOTL0061,"res:Labersa_Hotel_and_Convention_Center_Toba,_Balige"
TOBAHOTL0063,res:LORO_SAI_HOMESTAY_toba
TOBAHOTL0066,res:Maniur_homestay_toba
TOBAHOTL0067,res:MESS_PEMPROVSU_BALIGE_toba
TOBAHOTL0069,res:MUTIARA_BALIGE_HOTEL_toba
TOBAHOTL0071,res:Nauli_Inn_toba
TOBAHOTL0073,"res:Bobocabin_Kaldera,_Toba"
TOBAHOTL0075,res:Hotel_OP._PAULUS_SIRAIT
TOBAHOTL0078,res:PENGINAPAN_MARTOGI_toba
TOBAHOTL0080,res:PONDOK_SILIWANGI_toba
TOBAHOTL0081,res:PUDAN_RESIDENCE_toba
TOBAHOTL0082,res:RAP_HOTEL_toba
TOBAHOTL0085,res:SINOK_HOMESTAY_toba
TOBAHOTL0086,res:SOVONTA_HOTEL_toba
TOBAHOTL0087,res:STAR_BEACH_HOTEL_toba
TOBAHOTL0088,res:Pondok_Berata_Dapdap
TOBAHOTL0089,res:Toba_Rose_toba
TOBAHOTL0091,res:Vania_Homestay_toba
TOBAREST00001,res:Damar_Toba_~_Lakeside_Eatery_&_Stay
TOBAREST00002,res:Tepi_Danau_Bistro
TOBAREST00003,res:Caldera_Resto_and_Coffee
TOBAREST00004,res:Lagos_Cafe
TOBAREST00005,"res:D'Cozy_Cafe_&_Resto,_Ajibata,_Parapat"
TOBAREST00006,res:Wita_Cafe
TOBAREST00008,res:Sinar_Minang_Restaurant_&_Convention_Hall
TOBAREST00009,res:THE_MARIO'S_Eatery_&_Cafe
TOBAREST00010,res:Renjana_Cafe
TOBAREST00013,res:Cafe_Hollywood
TOBAREST00014,res:Vivi_Cafe
TOBAREST00016,res:Joyce_Cafe
TOBAREST00018,res:RM._Fly_Over_Laguboti
TOBAREST00019,res:Cantik_Daijo_Cafe
TOBAREST00020,res:Tabobah_Cafe
TOBAREST00021,res:Toba_bypass_cafe_&_resto
TOBAREST00024,res:Toba_Naria_Cafe
TOBAREST00025,res:Wanny_Cavari_Cafe_(Binanga)
TOBAREST00026,res:Lago_Hotel_&_Resto
TOBAREST00027,res:RUMAH_MAKAN_SORTA_KHAS_BATAK
TOBAREST00029,res:Ririn_Kitchen_Kaldera_Toba
TOBAREST00030,res:Toba_Corner_Restaurant
TOBAREST00031,res:Betesda_Cafe_Balige
TOBAREST00034,res:Rumah_Makan_Panca
TOBAREST00036,res:Toba_Seafood_Tumpah_Millenial
TOBAREST00037,res:Cafe_Galilea
TOBAREST00038,res:Hotdaina_Cafe_&_Resto
TOBAREST00039,res:RM_/_Lapo_Kodian_Toba_Laguboti
TOBAREST00040,res:RAHAYU_STEAK
TOBAREST00041,res:Rumah_Makan_Pintu_Batu
TOBAREST00042,res:The_Deck_Balige_Restaurant_&_Lounge
TOBAREST00044,res:RM_MARISA_DONGANTA_KHAS_BATAK
TOBAREST00045,res:Sang_Diva_Cafe_&_Resto
TOBAREST00046,res:RM_Singgalang_sihiong
TOBAREST00047,res:RM._Khas_Batak_Monalisa
TOBAREST00048,res:Tabo_seafood_Balige
TOBAREST00050,res:Meat_Toba_Resto
TOBAREST00051,res:Aek_Natio_Cafe_&_Resto
TOBAREST00053,res:Nom_Addict_Kitchen_&_Cafe_by_Mogi
TOBAREST00056,res:Smile_Coffee_&_Cafe
TOBAREST00057,res:Silintong_Restaurant
TOBAREST00058,res:Tampubolon_Lbn_Atas
TOBAREST00059,res:Foodpedia_Balige
TOBAREST00061,res:Toba_Rose_Hotel
TOBAREST00063,res:Hidangan_Muslim_Rumah_Makan_CHARISSA
TOBAREST00064,"res:Rm_Tona_""Masakan_Khas_Batak"""
TOBAREST00065,res:Tao_Tio_Coffee_and_Resto
TOBAREST00066,res:Cabang_cafe_bungsu
TOBAREST00070,res:Cafè_WakuWaku_Toba
