item_id|nama_asli|nama_tempat|latitude|longitude|rating|total_ulasan|harga|keyword_ulasan|detail|url
TOBAHOTL0003|AQUINO HOMESTAY toba|AQUINO MARITO|2.3462962|99.045182|4,2|89|Harga lainnya mulai Rp 158.436|musik, danau, harga, cafe, pelayanan, keindahan, tidur|Opsi penelusuran yang untuk area ini|https://www.google.com/maps/search/AQUINO+HOMESTAY+kabupaten+toba
TOBAHOTL0004|Arjuna Homestay toba|Arjuna Homestay toba|2.2932455|98.9364062|4,9|10|Tidak ada informasi harga|Restoran, Hotel, Rekomendasi aktivitas, Transportasi umum, Parkir, Apotek, ATM|Opsi penelusuran yang untuk area ini|https://www.google.com/maps/search/Arjuna+Homestay+kabupaten+toba
TOBAHOTL0005|Asido Homestay toba|ASIDO HOMESTAY|2.3511307|99.1160282|5,0|1|Tidak ada informasi harga|Restoran, Hotel, Rekomendasi aktivitas, Transportasi umum, Parkir, Apotek, ATM|Opsi penelusuran yang untuk area ini|https://www.google.com/maps/search/Asido+Homestay+kabupaten+toba
TOBAHOTL0006|Aster Homestay toba|Aster Homestay Lumban bulbul|2.3477339|99.0725727|5,0|1|Tidak ada informasi harga|Restoran, Hotel, Rekomendasi aktivitas, Transportasi umum, Parkir, Apotek, ATM|Opsi penelusuran yang untuk area ini|https://www.google.com/maps/search/Aster+Homestay+kabupaten+toba
TOBAHOTL0007|BALIGE BEACH HOTEL toba|Hotel Balige Beach|2.344197|99.0669957|4,4|214|Tidak ada informasi harga|danau, kolam renang, pelayanan, liburan, pemandangan, menu, fasilitas, dewasa, kamar bersih, panas|Opsi penelusuran yang untuk area ini|https://maps.app.goo.gl/wx1ufKuGiBL1ctUP7
TOBAHOTL0008|Op. Dahlia Homestay|Op. Dahlia Homestay|2.3479508|99.0737361|5,0|29|Tidak ada informasi harga|Tidak ada keyword|Opsi penelusuran yang untuk area ini|https://maps.app.goo.gl/wx1ufKuGiBL1ctUP7
TOBAHOTL0009|Blessing Homestay toba|Blessing Homestay toba|2.5035722|98.9951823|5,0|Tidak ada ulasan|Tidak ada informasi harga|Tidak ada keyword|Parkir gratis|https://maps.app.goo.gl/RCqkk3iB35k2ZcQ59
TOBAHOTL0010|Brain Homestay toba|Brain Homestay|2.5473948|99.069409|4,7|3|Tidak ada informasi harga|Restoran, Hotel, Rekomendasi aktivitas, Transportasi umum, Parkir, Apotek, ATM|Opsi penelusuran yang untuk area ini|https://maps.app.goo.gl/t9dV7ostWUvsun6a8
TOBAHOTL0011|brussels homestay toba|Brussels Homestay|2.33624|99.0634391|4,6|55|Harga lainnya mulai Rp 279.153|orang, taman bermain, kipas|Wi-Fi gratis, Parkir gratis, Cocok untuk anak-anak|https://www.google.com/maps/search/brussels+homestay+kabupaten+toba
TOBAHOTL0013|ELYSHA HOMESTAY toba|Elysha Homestay|2.3467651|99.0750485|5,0|14|Tidak ada informasi harga|Restoran, Hotel, Rekomendasi aktivitas, Transportasi umum, Parkir, Apotek, ATM|Opsi penelusuran yang untuk area ini|https://www.google.com/maps/search/ELYSHA+HOMESTAY+kabupaten+toba
TOBAHOTL0014|FAMILY HOMESTAY toba|FAMILY HOMESTAY toba|2.4673142|98.8827148|5,0|10|Tidak ada informasi harga|Rating, Jam Buka, Semua filter|Filter yang untuk penelusuran ini, Kolam renang, Parkir gratis, Wi-Fi gratis, Wi-Fi, AC|https://maps.app.goo.gl/97N4pzhMk7xKG22j8
TOBAHOTL0016|GRAND HOTEL MAREDA toba|Grand Mareda Hotel|2.3499528|99.1122069|3,9|127|Tidak ada informasi harga|harga, bangunan, luas, hati, mandi, AC, pelayanan, kamar bersih, panasnya, anak|Wi-Fi gratis, Sarapan gratis, Parkir gratis, AC, Layanan kamar, Restoran|https://maps.app.goo.gl/mqXZw13Q4KggL7RA7
TOBAHOTL0021|Homestay Christian toba|HOMESTAY CHRISTIAN|2.3484083|99.0748639|4,5|10|Tidak ada informasi harga|Hotel di sekitar, Restoran, Rekomendasi aktivitas, Bar, Kopi, Apotek, Parkir|Opsi penelusuran yang untuk area ini|https://maps.app.goo.gl/3GyQMan5Nj2Jt7ZA9
TOBAHOTL0022|HOMESTAY DION toba|Penginapan Dion|2.3467445|99.0697844|3,8|11|Tidak ada informasi harga|Restoran, Hotel, Rekomendasi aktivitas, Transportasi umum, Parkir, Apotek, ATM|Opsi penelusuran yang untuk area ini|https://maps.app.goo.gl/tg1uYRh26u7kSHpi8
TOBAHOTL0023|HASIAN HOMESTAY|HASIAN HOMESTAY|2.3222223|98.9623922|5,0|2|Tidak ada informasi harga|Tidak ada keyword|Filter yang untuk penelusuran ini|https://maps.app.goo.gl/5ZbHV6S8Jeyx3UbTA
TOBAHOTL0024|Homestay Hasian toba|Homestay Hasian toba|2.3345375|99.0352999|5,0|2|Tidak ada informasi harga|Rating, Jam Buka, Semua filter|Filter yang untuk penelusuran ini|https://maps.app.goo.gl/5ZbHV6S8Jeyx3UbTA
TOBAHOTL0026|HOMESTAY HELENA toba|Helena homestay|2.3463258|99.0774778|5,0|1|Tidak ada informasi harga|Restoran, Hotel, Rekomendasi aktivitas, Transportasi umum, Parkir, Apotek, ATM|Opsi penelusuran yang untuk area ini|https://www.google.com/maps/search/HOMESTAY+HELENA+kabupaten+toba
TOBAHOTL0027|Homestay Raja Hiobaja Sianipar|Homestay Raja Hiobaja Sianipar|2.3758316|99.131723|4,8|16|Tidak ada informasi harga|Rating, Jam Buka, Semua filter|Filter yang untuk penelusuran ini, Wi-Fi, Tempat parkir|https://www.google.com/maps/search/Homestay+Jaya+kabupaten+toba
TOBAHOTL0028|HOMESTAY KASIH toba|KASIH HOMESTAY|2.6048917|98.6994234|5,0|4|Tidak ada informasi harga|Restoran, Hotel, Rekomendasi aktivitas, Transportasi umum, Parkir, Apotek, ATM|Opsi penelusuran yang untuk area ini|https://maps.app.goo.gl/yRjVysZEh6xCNjW8A
TOBAHOTL0029|Homestay Mawar 1 toba|Homestay Mawar 1 toba|2.4764934|98.887019|4,6|21|Tidak ada informasi harga|Tidak ada keyword|Tidak ada detail fasilitas|https://www.google.com/maps/search/Homestay+Mawar+1+kabupaten+toba
TOBAHOTL0030|HOMESTAY MELATI toba|Homestay Melati Balige|2.3466853|99.0747175|4,9|82|Tidak ada informasi harga|pantai, luas, kamar mandi, harga, wifi, pelayanan, alat dapur, gereja, bahan, sawah|Opsi penelusuran yang untuk area ini|https://www.google.com/maps/search/HOMESTAY+MELATI+kabupaten+toba
TOBAHOTL0031|Homestay Mentari toba|Mentari Homestay|2.3470167|99.0697269|5,0|5|Tidak ada informasi harga|Restoran, Hotel, Rekomendasi aktivitas, Transportasi umum, Parkir, Apotek, ATM|Opsi penelusuran yang untuk area ini|https://www.google.com/maps/search/Homestay+Mentari+kabupaten+toba
TOBAHOTL0032|HOMESTAY NAEL JAYA toba|Penginapan Nael Jaya|2.3478513|99.0704983|5,0|4|Tidak ada informasi harga|Restoran, Hotel, Rekomendasi aktivitas, Transportasi umum, Parkir, Apotek, ATM|Opsi penelusuran yang untuk area ini|https://www.google.com/maps/search/HOMESTAY+NAEL+JAYA+kabupaten+toba
TOBAHOTL0033|HOMESTAY OP. PATUDU toba|HOMESTAY OP. PATUDU toba|2.3302515|99.0923159|4,8|10|Tidak ada informasi harga|Rating, Jam Buka, Semua filter|Filter yang untuk penelusuran ini|https://www.google.com/maps/search/HOMESTAY+OP.+PATUDU+kabupaten+toba
TOBAHOTL0034|HOMESTAY OP.JIHAN toba|HOMESTAY OP.JIHAN toba|2.3593791|99.0798275|4,8|10|Tidak ada informasi harga|Rating, Jam Buka, Semua filter|Filter yang untuk penelusuran ini, Parkir gratis, Sarapan, Jemputan bandara|https://www.google.com/maps/search/HOMESTAY+OP.JIHAN+kabupaten+toba
