item_id:token,count_review:int,rating:float,item_type:token
item_id:token,count_review:int,rating:float,item_type:token
TOBAREST00001,230,4.8,restaurant
TOBAREST00002,893,4.2,restaurant
TOBAREST00003,034,4.4,restaurant
TOBAREST00004,360,4.2,restaurant
TOBAREST00005,120,4.9,restaurant
TOBAREST00006,281,4.0,restaurant
TOBAREST00007,507,4.8,restaurant
TOBAREST00008,636,4.4,restaurant
TOBAREST00009,700,4.2,restaurant
TOBAREST00010,115,4.2,restaurant
TOBAREST00011,537,4.3,restaurant
TOBAREST00012,39,4.4,restaurant
TOBAREST00013,123,4.4,restaurant
TOBAREST00014,104,4.2,restaurant
TOBAREST00015,171,4.8,restaurant
TOBAREST00016,24,4.4,restaurant
TOBAREST00017,173,4.6,restaurant
TOBAREST00018,288,4.4,restaurant
TOBAREST00019,260,4.3,restaurant
TOBAREST00020,55,4.6,restaurant
TOBAREST00021,2,5.0,restaurant
TOBAREST00022,631,4.7,restaurant
TOBAREST00023,101,4.8,restaurant
TOBAREST00024,15,4.6,restaurant
TOBAREST00025,222,4.1,restaurant
TOBAREST00026,537,4.5,restaurant
TOBAREST00027,74,4.8,restaurant
TOBAREST00028,390,4.0,restaurant
TOBAREST00029,12,5.0,restaurant
TOBAREST00030,24,4.3,restaurant
TOBAREST00031,41,4.3,restaurant
TOBAREST00032,17,4.9,restaurant
TOBAREST00033,274,3.9,restaurant
TOBAREST00034,410,4.5,restaurant
TOBAREST00035,149,4.2,restaurant
TOBAREST00036,67,4.5,restaurant
TOBAREST00037,17,4.4,restaurant
TOBAREST00038,5,4.6,restaurant
TOBAREST00039,62,4.9,restaurant
TOBAREST00040,45,4.6,restaurant
TOBAREST00041,110,4.5,restaurant
TOBAREST00042,31,3.5,restaurant
TOBAREST00043,245,4.1,restaurant
TOBAREST00044,11,4.5,restaurant
TOBAREST00045,39,3.9,restaurant
TOBAREST00046,22,4.5,restaurant
TOBAREST00047,101,4.2,restaurant
TOBAREST00048,10,4.6,restaurant
TOBAREST00049,38,4.6,restaurant
TOBAREST00050,5,5.0,restaurant
TOBAREST00051,14,4.4,restaurant
TOBAREST00052,496,4.3,restaurant
TOBAREST00053,50,3.1,restaurant
TOBAREST00054,16,4.3,restaurant
TOBAREST00055,1,4.0,restaurant
TOBAREST00056,218,4.1,restaurant
TOBAREST00057,2,4.0,restaurant
TOBAREST00058,40,4.3,restaurant
TOBAREST00059,63,4.2,restaurant
TOBAREST00060,156,4.5,restaurant
TOBAREST00061,211,4.2,restaurant
TOBAREST00062,21,4.0,restaurant
TOBAREST00063,4,4.8,restaurant
TOBAREST00064,32,4.7,restaurant
TOBAREST00065,32,4.5,restaurant
TOBAREST00066,1,5.0,restaurant
TOBAREST00067,57,4.9,restaurant
TOBAREST00068,11,3.5,restaurant
TOBAREST00069,144,4.3,restaurant
TOBAREST00070,47,4.2,restaurant
TOBAREST00071,199,4.3,restaurant
TOBAREST00072,97,4.4,restaurant
TOBAREST00073,216,4.0,restaurant
TOBAREST00074,41,4.9,restaurant
TOBAREST00075,20,4.4,restaurant
TOBAREST00076,2,5.0,restaurant
TOBAREST00077,12,3.8,restaurant
TOBAREST00078,7,4.1,restaurant
TOBAREST00079,5,4.4,restaurant
TOBAREST00080,19,4.7,restaurant
TOBAREST00081,12,4.6,restaurant
TOBAREST00082,86,4.3,restaurant
TOBAREST00083,33,4.3,restaurant
TOBAREST00084,32,3.9,restaurant
TOBAREST00085,24,4.3,restaurant
TOBAREST00086,49,4.4,restaurant
TOBAREST00087,20,4.1,restaurant
TOBAREST00088,64,4.7,restaurant
TOBAREST00089,36,4.2,restaurant
TOBAREST00090,25,3.8,restaurant
TOBAREST00092,39,4.5,restaurant
TOBAREST00094,178,4.2,restaurant
TOBAREST00095,17,4.5,restaurant
