item_id:token,entity_id:token
TOBAREST00001,res:Damar_Toba_~_Lakeside_Eatery_&_Stay
TOBAREST00002,res:Tepi_Danau_Bistro
TOBAREST00003,res:Caldera_Resto_and_Coffee
TOBAREST00004,res:Lagos_Cafe
TOBAREST00005,"res:D'Cozy_Cafe_&_Resto,_Ajibata,_Parapat"
TOBAREST00006,res:Wita_Cafe
TOBAREST00007,res:Willem's_Resto_Cafe_&_Bar
TOBAREST00008,res:Sinar_Minang_Restaurant_&_Convention_Hall
TOBAREST00009,res:THE_MARIO'S_Eatery_&_Cafe
TOBAREST00010,res:Renjana_Cafe
TOBAREST00011,res:Biwa_Cafe_&_Resto
TOBAREST00012,res:Restoran_Tabo_Toko_Roti_dan_Sangrai_Kopi
TOBAREST00013,res:Cafe_Hollywood
TOBAREST00014,res:Vivi_Cafe
TOBAREST00015,res:Horas_Vegetarian_Restaurant
TOBAREST00016,res:Joyce_Cafe
TOBAREST00017,res:Maruba_Restaurant
TOBAREST00018,res:RM._Fly_Over_Laguboti
TOBAREST00019,res:Cantik_Daijo_Cafe
TOBAREST00020,res:Tabobah_Cafe
TOBAREST00021,res:Toba_bypass_cafe_&_resto
TOBAREST00022,res:LEO'S_Restaurant
TOBAREST00023,res:Joe's_Restaurant
TOBAREST00024,res:Toba_Naria_Cafe
TOBAREST00025,res:Wanny_Cavari_Cafe_(Binanga
TOBAREST00026,res:Lago_Hotel_&_Resto
TOBAREST00027,res:RUMAH_MAKAN_SORTA_KHAS_BATAK
TOBAREST00028,res:Chinese_Food_Gemar
TOBAREST00029,res:Ririn_Kitchen_Kaldera_Toba
TOBAREST00030,res:Toba_Corner_Restaurant
TOBAREST00031,res:Betesda_Cafe_Balige
TOBAREST00032,res:Tatap_Terrace_Restaurant
TOBAREST00033,res:Damasus_Nataboan_Resto
TOBAREST00034,res:Rumah_Makan_Panca
TOBAREST00035,res:RM_Singgalang
TOBAREST00036,res:Toba_Seafood_Tumpah_Millenial
TOBAREST00037,res:Cafe_Galilea
TOBAREST00038,res:Hotdaina_Cafe_&_Resto
TOBAREST00039,res:RM_/_Lapo_Kodian_Toba_Laguboti
TOBAREST00040,res:RAHAYU_STEAK
TOBAREST00041,res:Rumah_Makan_Pintu_Batu
TOBAREST00042,res:The_Deck_Balige_Restaurant_&_Lounge
TOBAREST00043,res:LA_PINUS_DAMASUS_BISTRO_&_RESTO
TOBAREST00044,res:RM_MARISA_DONGANTA_KHAS_BATAK
