head_id:token,relation_id:token,tail_id:token
res:Damar_Toba_~_Lakeside_Eatery_&_Stay,dbo:category,cat:Restoran_&_Cafe
res:Tepi_Danau_Bistro,dbo:category,cat:Restoran_&_Cafe
res:Caldera_Resto_and_Coffee,dbo:category,cat:Fasilitas_Umum
res:Lagos_Cafe,dbo:category,cat:Restoran_&_Cafe
"res:D'Cozy_Cafe_&_Resto,_Ajibata,_Parapat",dbo:category,cat:Restoran_&_Cafe
res:Wita_Cafe,dbo:category,cat:Restoran_&_Cafe
res:Sinar_Minang_Restaurant_&_Convention_Hall,dbo:category,cat:Restoran_&_Cafe
res:THE_MARIO'S_Eatery_&_Cafe,dbo:category,cat:Restoran_&_Cafe
res:Renjana_Cafe,dbo:category,cat:Restoran_&_Cafe
res:Cafe_Hollywood,dbo:category,cat:Restoran_&_Cafe
res:Vivi_Cafe,dbo:category,cat:Restoran_&_Cafe
res:Joyce_Cafe,dbo:category,cat:Restoran_&_Cafe
res:RM._Fly_Over_Laguboti,dbo:category,cat:Fasilitas_Umum
res:Cantik_Daijo_Cafe,dbo:category,cat:Restoran_&_Cafe
res:Tabobah_Cafe,dbo:category,cat:Restoran_&_Cafe
res:Toba_bypass_cafe_&_resto,dbo:category,cat:Fasilitas_Umum
res:Toba_Naria_Cafe,dbo:category,cat:Restoran_&_Cafe
res:Wanny_Cavari_Cafe_(Binanga),dbo:category,cat:Restoran_&_Cafe
res:Lago_Hotel_&_Resto,dbo:category,cat:Hotel_&_Penginapan
res:RUMAH_MAKAN_SORTA_KHAS_BATAK,dbo:category,cat:Fasilitas_Umum
res:Ririn_Kitchen_Kaldera_Toba,dbo:category,cat:Fasilitas_Umum
res:Toba_Corner_Restaurant,dbo:category,cat:Restoran_&_Cafe
res:Betesda_Cafe_Balige,dbo:category,cat:Restoran_&_Cafe
res:Rumah_Makan_Panca,dbo:category,cat:Fasilitas_Umum
res:Toba_Seafood_Tumpah_Millenial,dbo:category,cat:Fasilitas_Umum
res:Cafe_Galilea,dbo:category,cat:Restoran_&_Cafe
res:Hotdaina_Cafe_&_Resto,dbo:category,cat:Restoran_&_Cafe
res:RM_/_Lapo_Kodian_Toba_Laguboti,dbo:category,cat:Fasilitas_Umum
res:RAHAYU_STEAK,dbo:category,cat:Fasilitas_Umum
res:Rumah_Makan_Pintu_Batu,dbo:category,cat:Fasilitas_Umum
res:The_Deck_Balige_Restaurant_&_Lounge,dbo:category,cat:Restoran_&_Cafe
res:RM_MARISA_DONGANTA_KHAS_BATAK,dbo:category,cat:Fasilitas_Umum
res:Sang_Diva_Cafe_&_Resto,dbo:category,cat:Restoran_&_Cafe
res:RM_Singgalang_sihiong,dbo:category,cat:Fasilitas_Umum
res:RM._Khas_Batak_Monalisa,dbo:category,cat:Fasilitas_Umum
res:Tabo_seafood_Balige,dbo:category,cat:Fasilitas_Umum
res:Meat_Toba_Resto,dbo:category,cat:Fasilitas_Umum
res:Aek_Natio_Cafe_&_Resto,dbo:category,cat:Restoran_&_Cafe
res:Nom_Addict_Kitchen_&_Cafe_by_Mogi,dbo:category,cat:Restoran_&_Cafe
res:Smile_Coffee_&_Cafe,dbo:category,cat:Restoran_&_Cafe
res:Silintong_Restaurant,dbo:category,cat:Restoran_&_Cafe
res:Tampubolon_Lbn_Atas,dbo:category,cat:Fasilitas_Umum
res:Foodpedia_Balige,dbo:category,cat:Fasilitas_Umum
res:Toba_Rose_Hotel,dbo:category,cat:Hotel_&_Penginapan
res:Hidangan_Muslim_Rumah_Makan_CHARISSA,dbo:category,cat:Fasilitas_Umum
"res:Rm_Tona_""Masakan_Khas_Batak""",dbo:category,cat:Fasilitas_Umum
res:Tao_Tio_Coffee_and_Resto,dbo:category,cat:Fasilitas_Umum
res:Cabang_cafe_bungsu,dbo:category,cat:Fasilitas_Umum
res:Cafè_WakuWaku_Toba,dbo:category,cat:Fasilitas_Umum
"res:Kedai_Bakmi_""Bahagia""_/_""Sukaria""",dbo:category,cat:Fasilitas_Umum
res:RM._Siganupari_Ajibata,dbo:category,cat:Fasilitas_Umum
res:KFC_Balige,dbo:category,cat:Fasilitas_Umum
res:Rm.Mariboto,dbo:category,cat:Fasilitas_Umum
res:Sihar_resto_&_coffee,dbo:category,cat:Fasilitas_Umum
res:Larisma_Cafe_and_Resto,dbo:category,cat:Restoran_&_Cafe
res:Skuy_Living_Cafe_&_Resto,dbo:category,cat:Restoran_&_Cafe
res:PADELTA_lapo,dbo:category,cat:Fasilitas_Umum
res:Rumah_Makan_Khas_Batak_TOBA_SAMOSIR,dbo:category,cat:Fasilitas_Umum
res:Warung_Kembar_(KHAS_BATAK),dbo:category,cat:Fasilitas_Umum
res:Rumah_Makan_Sigiring_Giring,dbo:category,cat:Fasilitas_Umum
