item_id:token,count_review:int,rating:float
TOBAWISA00001,573,4.7
TOBAWISA00002,33,4.2
TOBAWISA00003,95,4.7
TOBAWISA00004,749,4.7
TOBAWISA00005,40,4.8
TOBAWISA00006,395,4.4
TOBAWISA00007,6,4.5
TOBAWISA00008,54,4.7
TOBAWISA00009,92,4.0
TOBAWISA00010,59,3.8
TOBAWISA00011,12,4.8
TOBAWISA00012,168,4.5
TOBAWISA00013,63,4.5
TOBAWISA00014,8,4.8
TOBAWISA00015,274,4.6
TOBAWISA00016,61,4.3
TOBAWISA00017,3,4.3
TOBAWISA00018,597,4.5
TOBAWISA00019,310,4.2
TOBAWISA00020,29,4.3
TOBAWISA00021,41,4.5
TOBAWISA00022,165,4.2
TOBAWISA00023,543,4.6
TOBAWISA00024,78,4.6
TOBAWISA00025,14,4.9
TOBAWISA00026,458,4.5
TOBAWISA00027,466,4.5
TOBAWISA00028,174,4.5
