item_id|nama_asli|nama_tempat|latitude|longitude|rating|total_ulasan|keyword_ulasan|url
TOBAWISA00001|Situmurun Waterfall|Air Terjun Situmurun|2.5374355|99.005407|4,7|573|Semua, kapal, perjalanan, danau, alam|https://www.google.com/maps/search/Situmurun+Waterfall
TOBAWISA00002|Air Terjun Sampuran Huta Namora|Air Terjun Sampuran|2.2751345|99.1438084|4,2|33|Tidak ada keyword|https://www.google.com/maps/search/Air+Terjun+Sampuran+Huta+Namora
TOBAWISA00003|Air Terjun Siboruon|Air terjun siboruon balige|2.289625|99.0838963|4,7|95|Semua, sejuk, pemandangan, tangga, parkir|https://www.google.com/maps/search/Air+Terjun+Siboruon
TOBAWISA00004|Bukit Senyum|Bukit Senyum|2.6363289|98.9211314|4,7|749|Tidak ada keyword|https://www.google.com/maps/search/Bukit+Senyum+JWPC+8C4
TOBAWISA00005|Singgolom|Singgolom|2.3428431|99.0176385|4,8|40|pemandangan, sunset, sejuk|https://www.google.com/maps/search/Singgolom
TOBAWISA00006|Ponot Waterfall|Air Terjun Ponot|2.5549651|99.3047306|4,4|395|pemandangan, kebersihan, parkir, sejuk, sepeda motor, tinggi, pemerintah, danau toba, pembangkit listrik tenaga air, aspal|https://www.google.com/maps/search/Ponot+Waterfall
TOBAWISA00007|Batu Basiha|Batu Basiha|2.3213997|99.0494919|4,5|6|Tidak ada keyword|https://www.google.com/maps/search/Batu+Basiha
TOBAWISA00008|Gereja HKBP DR.IL.Nommensen Sigumpar|Gereja HKBP DR.IL.Nommensen Sigumpar|2.3948523|99.1574046|4,7|54|Tidak ada keyword|https://www.google.com/maps/search/Gereja+HKBP+DR.IL.Nommensen+Sigumpar
TOBAWISA00009|TB Silalahi Swimming Pool|TB Silalahi Swimming Pool|2.3345792|99.0472564|4,0|92|museum, tiket|https://www.google.com/maps/search/TB+Silalahi+Swimming+Pool
TOBAWISA00010|Labersa Toba Fantasi Waterpark|Labersa Toba Fantasi Waterpark|2.3387137|99.0821726|3,8|59|ruang ganti, kaporit, shower, lantai, kerumunan, tiket, wisata, bayi, liburan, dewasa|https://www.google.com/maps/search/Labersa+Toba+Fantasi+Waterpark
TOBAWISA00011|Gua Liang Sipege|Gua Liang Sipege|2.308633|99.1017883|4,8|12|Tidak ada keyword|https://www.google.com/maps/search/Gua+Liang+Sipege
